challenge_kind,challenge_label,domain_accepted,domain_reason,nearest_training_distance,usable_prediction,deuteron_energy_mev,target_distance_cm,beam_fwhm_mm,radial_offset_mm,target_radius_mm,baseline_n2n_per_h_per_uA,raw_model_output_n2n_per_h_per_uA,log_prediction_std_n2n,baseline_ngamma_per_h_per_uA,raw_model_output_ngamma_per_h_per_uA,log_prediction_std_ngamma
explicit_out_of_range,outside_beam_fwhm_mm_high,False,outside:beam_fwhm_mm,0.8104498131049082,False,40.0,1.6354135975710207,17.0,4.080372553358554,3.056529564856286,4.4701438903462755e-10,8.355696613761871e-11,0.0196740543965189,3.3110112452012837e-12,9.325751322456705e-13,0.012419068810263965
explicit_out_of_range,outside_beam_fwhm_mm_high,False,outside:beam_fwhm_mm,1.25367385653725,False,33.0,2.6609658349731946,17.0,1.5278933160614478,1.8280070579680419,1.1960623430209173e-10,4.2541413887564103e-11,0.028737866141160428,9.421331319826303e-13,4.364409039735304e-13,0.018573135131596863
explicit_out_of_range,outside_beam_fwhm_mm_high,False,outside:beam_fwhm_mm,0.8420151385021525,False,33.0,2.3468967334114907,17.0,5.031848148303513,3.3119853553388685,1.537603834306843e-10,4.4523889808416506e-11,0.017498601318988474,1.2111638867462219e-12,4.726466350132799e-13,0.011025786919635341
explicit_out_of_range,outside_beam_fwhm_mm_high,False,outside:beam_fwhm_mm,1.184610744391326,False,33.0,1.729484391105606,17.0,3.194205657397694,2.4277696094564534,2.831386263285922e-10,6.137197919253124e-11,0.019852103350180846,2.2302707075825986e-12,6.906877340963271e-13,0.012521736315838439
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.4764366401421405,False,40.0,2.882105850081402,6.1230852303788,-1.0,0.901392626622675,1.439318334967737e-10,1.1393716008478708e-10,0.032163262020165326,1.0660952554109846e-12,9.099479235491708e-13,0.020456551086884
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.7044984707708977,False,40.0,1.9886746627694682,13.424248821956345,-1.0,1.3852630778406994,3.023077149478924e-10,1.0583915723268555e-10,0.03748294012058439,2.239176787720895e-12,1.0408123531848813e-12,0.023848149501906894
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.0193219531386963,False,33.0,2.122822847259181,10.405284966941343,-1.0,4.117186201042719,1.8793380551492671e-10,8.413591531014594e-11,0.02527826159788633,1.480346453747486e-12,8.108767576886058e-13,0.016013457172453338
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.0118761262710003,False,40.0,1.848765598289665,10.472727774254324,-1.0,0.6237302051251177,3.4979452629598567e-10,1.473257240976039e-10,0.03633801243768365,2.5909090143094876e-12,1.3936576123619854e-12,0.023005995414512943
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,0.8044769308628836,False,40.0,2.957151309761489,3.4863754844572004,-1.0,2.8773461534979283,1.3671923448224441e-10,1.177121919651654e-10,0.024547808617466377,1.0126719271467478e-12,9.139164749181875e-13,0.015905808792099695
explicit_out_of_range,outside_radial_offset_mm_low,False,outside:radial_offset_mm,1.6509449782975214,False,33.0,2.4380507336734496,2.9346957430155163,-1.0,1.03393775555229,1.4247771352218627e-10,1.3152529967306504e-10,0.03514098791861802,1.1222907841019936e-12,1.0619709014399446e-12,0.022212960407088728
